ADM1,ADM2,ADM1_ID,ADM2_ID,"Adjusted incidence 2","Adjusted incidence 3","Adjusted incidence 1","Crude incidence",PFPR_U5_MAP,PFPR_U5_MIS,U5_MORTALITY,U5_DEATHS_MEAN,U5_MORTALITY_MIS,U5_MORTALITY_IHME,ADM2_POP
CENTRE EST,DS BITTOU,C9M7mlhBZcI,EdfRX9b9vEb,626.5,776.5,626.5,554,30.2,11,9.18,584.865746290705,58,96.1,156614
CENTRE EST,DS GARANGO,C9M7mlhBZcI,QyuBzsj7V8W,2451.5,3038,2451.5,740.5,25.5,11,9.27,910.975484508146,58,96.1,234085
CENTRE EST,DS KOUPELA,C9M7mlhBZcI,PMz4fDtfU88,713,883.5,713,579.5,30.7,11,10,983.915633417656,58,96.1,289816
CENTRE EST,DS OUARGAYE,C9M7mlhBZcI,dnuHZje468i,1926.5,2387,1912,576.5,35,11,10.9,1785.53923530789,58,96.1,413644
CENTRE EST,DS POUYTENGA,C9M7mlhBZcI,bI89w2F4Edw,1099.5,1362,1099.5,534.5,27.6,11,10.31,945.283809373992,58,96.1,261277
CENTRE EST,DS TENKODOGO,C9M7mlhBZcI,ry4dVgT4brt,3463.5,4292,3463.5,919,28.9,11,9.63,998.485147876919,58,96.1,250233
CENTRE EST,DS ZABRE,C9M7mlhBZcI,TTSmaRnHa82,893.5,1107,891.5,684,30.1,11,8.5,608.039776725436,58,96.1,195981
CENTRE NORD,DS BARSALOGHO,CrqTIkTFSWU,TPgpGxUBU9y,168,242,168,165.5,34.8,11,11.04,994.107333716576,59,109.9,221772
CENTRE NORD,DS BOULSA,CrqTIkTFSWU,WVEJjdJ2S15,327.5,472.5,327.5,318.5,27.5,11,11.03,1070.81409239255,59,109.9,266437
CENTRE NORD,DS BOUSSOUMA,CrqTIkTFSWU,Nml6rVDElLh,406,585.5,406,404,23.2,11,9.63,959.402389315963,59,109.9,247970
CENTRE NORD,DS KAYA,CrqTIkTFSWU,f6waaHr09XO,515,743,514.5,460,25,11,10.18,1742.13733795722,59,109.9,548646
CENTRE NORD,DS KONGOUSSI,CrqTIkTFSWU,t8FUnS1REgS,339.5,490,339.5,337.5,29.7,11,10.53,1722.44635072964,59,109.9,562928
CENTRE NORD,DS TOUGOURI,CrqTIkTFSWU,AVb6wBstPAo,1287,1857,1282,172,28.7,11,12.83,1346.09981083445,59,109.9,330534
CASCADES,DS BANFORA,NMTk6usvgPW,mPenE8ZIBFC,1970,2558,1935.5,426,25.2,6,13.31,2041.01586615687,78,129.8,440796
CASCADES,DS MANGODARA,NMTk6usvgPW,SxaubWVirda,1261.5,1638.5,1261.5,486,36.6,6,12.86,1159.18128354874,78,129.8,294201
CASCADES,DS SINDOU,NMTk6usvgPW,F0ytkh0RExg,352,457,352,351.5,27.1,6,13.99,1135.78251161066,78,129.8,205695
SAHEL,DS DJIBO,Oh2EALVR2Pa,Xj0D2QNeFkp,188.5,262,188.5,120,39.8,28.999999999999996,11.72,2476.03522034238,98,146.4,392340
SAHEL,DS DORI,Oh2EALVR2Pa,oXftjVew8Cg,235,327.5,235,234.5,32.1,28.999999999999996,16.09,2667.8532195736,98,146.4,466004
SAHEL,DS GOROM GOROM,Oh2EALVR2Pa,rnqP2uDjIb4,739,1030.5,739,565.5,40.9,28.999999999999996,14.69,1870.08168454527,98,146.4,163120
SAHEL,DS SEBBA,Oh2EALVR2Pa,OUCEWyavOtS,1559.5,2175,1559.5,205,31,28.999999999999996,15.24,1616.46552715748,98,146.4,185869
NORD,DS GOURCY,QbUydxr5PH1,mkpbDrWZr0p,440.5,569.5,440,431.5,22.6,11,10.09,978.717842921595,39,101.6,275083
NORD,DS OUAHIGOUYA,QbUydxr5PH1,II0p7xiQWqV,539.5,698,539,521,16,11,10.63,1561.58862831851,39,101.6,443022
NORD,DS SEGUENEGA,QbUydxr5PH1,CkpfOFkMyrd,517.5,669.5,517.5,517,24.7,11,10.23,940.968515952599,39,101.6,290533
NORD,DS THIOU,QbUydxr5PH1,fcJ37oO4EHG,239.5,310.5,239.5,239.5,20.1,11,11.28,903.186663626729,39,101.6,218928
NORD,DS TITAO,QbUydxr5PH1,vQ6AJUeqBpc,860.5,1113.5,856,141,27.2,11,11.55,1023.71917835849,39,101.6,225658
NORD,DS YAKO,QbUydxr5PH1,oNJ6Dql8iPo,473,612,473,470.5,25,11,9.78,1861.70266878659,39,101.6,523288
PLATEAU CENTRAL,DS BOUSSE,RAtbr3qeN3Q,rbYGKFgupK9,592.5,736.5,592.5,576,23.4,20,9.36,760.251163874688,47,92.6,204270
