ADM1,ADM1_ID,ADM2,ADM2_ID,ADM2_POP,INCIDENCE_RR_MEDIAN,INCIDENCE_RR_TSR_MEDIAN,INCIDENCE_PRESUMED_MEDIAN,INCIDENCE_CRUDE_MEDIAN,PFPR_U5_MAP,PFPR_U5_MIS,PFPR_2TO10_MAP,U5_MORTALITY_MIS,U5_MORTALITY_IHME,MORBIDITY_RISK1,MORBIDITY_MORTALITY_RISK2,ITN_ACCESS_MAP,ITN_USE_MAP,ITN_USE_RATE_MAP,PROPORTION_SEASONAL_YEARS,ITN_ACCESS_SAMPLE_AVERAGE,ITN_ACCESS_CI_LOWER_BOUND,ITN_ACCESS_CI_UPPER_BOUND,DTP3_SAMPLE_AVERAGE,DTP3_CI_LOWER_BOUND,DTP3_CI_UPPER_BOUND
CENTRE OUEST,TMFuUYJyGPX,DS NANORO,AKVCJJ2TKSi,193777,701,951,694,691.5,27.1,27,0.30345962941646576,42,92.6,9,13,0.8418034613132477,0.799916535615921,0.9450542330741882,0,0.657002056160195,0.620105100018289,0.693899012302102,0.935582751852275,0.904399859146526,0.966765644558024
CENTRE NORD,CrqTIkTFSWU,DS TOUGOURI,AVb6wBstPAo,330534,1287,1857,1282,205,28.7,11,0.2526322603225708,59,109.9,9,14,0.7896275520324707,0.7840054631233215,0.9819031357765198,0.666666666666667,0.618635435014211,0.580281931023312,0.65698893900511,0.844919640178013,0.784703975126819,0.905135305229208
CENTRE,WXDW5h0TFmT,DS BASKUY,AhST5ZpuCDJ,184036,3890.5,5721.5,3887,437.5,13.1,5,0.13620658218860626,39,69,9,12,0.8666276931762695,0.8297353386878967,0.954805314540863,0.333333333333333,0.669684305731734,0.651168767287305,0.688199844176163,0.923586435846235,0.89838919141746,0.94878368027501
BOUCLE DU MOUHOUN,awG7snlrjVy,DS NOUNA,B4Ra7K6HuCE,401036,864,1445,861.5,362.5,27.3,11,0.2542615830898285,51,103.7,9,14,0.8663689494132996,0.8423411846160889,0.9656909704208374,0.666666666666667,0.768060578391635,0.73670395760432,0.799417199178951,0.816604990877603,0.727147037073901,0.906062944681305
SUD OUEST,t8cSsU8HYBT,DS DANO,C6EBhE8OnfW,302634,700,1123,699,636,31.7,15,0.2112738937139511,112,125.9,9,14,0.8993763327598572,0.887678861618042,0.9833673238754272,0,0.610652215607133,0.547846132770044,0.673458298444221,0.874101789494497,0.782812467485578,0.965391111503417
BOUCLE DU MOUHOUN,awG7snlrjVy,DS BOROMO,CTtB0TPRvWc,338945,3685,6162,3655,425,29.1,11,0.22348228842020035,51,103.7,9,14,0.9184094071388245,0.8921381831169128,0.9681740701198578,0,0.768060578391635,0.73670395760432,0.799417199178951,0.816604990877603,0.727147037073901,0.906062944681305
NORD,QbUydxr5PH1,DS SEGUENEGA,CkpfOFkMyrd,290533,535,692,535,517,24.7,11,0.23172712326049805,39,101.6,9,14,0.8566775918006897,0.8396629691123962,0.9788514971733093,1,0.634352098685422,0.603374925855021,0.665329271515822,0.890750812701694,0.857588648603238,0.923912976800149
CENTRE OUEST,TMFuUYJyGPX,DS SABOU,DaGyRJ27cTC,126295,720.5,977.5,720.5,720.5,28.3,27,0.2952231168746948,42,92.6,9,13,0.8761076331138611,0.8429027795791626,0.9583376049995422,0,0.657002056160195,0.620105100018289,0.693899012302102,0.935582751852275,0.904399859146526,0.966765644558024
HAUTS BASSINS,x35OtBOWemw,DS DO,DqVkgKRZz84,770103,2115,3305,2115,310.5,15.6,7.000000000000001,0.24731983244419098,61,105,9,14,0.8972430229187012,0.8759366869926453,0.9748620986938477,0.333333333333333,0.739632684028044,0.709517711101988,0.7697476569541,0.858667412859667,0.818778445891815,0.898556379827519
HAUTS BASSINS,x35OtBOWemw,DS DAFRA,E0hd8TD1M0q,503794,2382.5,3722,2382.5,311,22.2,7.000000000000001,0.2680182009935379,61,105,9,14,0.9071933627128601,0.8777735233306885,0.9631849229335785,0,0.739632684028044,0.709517711101988,0.7697476569541,0.858667412859667,0.818778445891815,0.898556379827519
