PARENT_LEVEL_1_ID,PARENT_LEVEL_1_NAME,PARENT_LEVEL_2_ID,PARENT_LEVEL_2_NAME,PARENT_LEVEL_3_ID,PARENT_LEVEL_3_NAME,PARENT_LEVEL_4_ID,PARENT_LEVEL_4_NAME,PARENT_LEVEL_5_ID,PARENT_LEVEL_5_NAME,PARENT_LEVEL_6_ID,PARENT_LEVEL_6_NAME,PARENT_LEVEL_7_ID,PARENT_LEVEL_7_NAME
zmSNCYjqQGj,BURKINA FASO,x35OtBOWemw,HAUTS BASSINS,qP70IWKmadj,HOUET,DqVkgKRZz84,DS DO,H1zE6UjqMez,ARRONDISSEMENT DE DO,NmHJVR2Ob6g,ABBEF CENTRE JEUNES ,,
zmSNCYjqQGj,BURKINA FASO,RAtbr3qeN3Q,PLATEAU CENTRAL,XM9LpD0PDcr,OUBRITENGA,jbmw2gdrrTV,DS ZINIARE,oYMXkDpUMhf,ABSOUYA,,,,
zmSNCYjqQGj,BURKINA FASO,C9M7mlhBZcI,CENTRE EST,n6QVVj8lqAz,KOURITENGA,bI89w2F4Edw,DS POUYTENGA,SvQFlfB6Ebo,ANDEMTENGA,,,,
zmSNCYjqQGj,BURKINA FASO,QbUydxr5PH1,NORD,ZxXpTIWCHbI,PASSORE,oNJ6Dql8iPo,DS YAKO,nZcB4fuMtLl,ARBOLE,,,,
zmSNCYjqQGj,BURKINA FASO,Oh2EALVR2Pa,SAHEL,y6rnOGdMGoC,SOUM,Xj0D2QNeFkp,DS DJIBO,TA0bpammXCn,ARIBINDA,,,,
zmSNCYjqQGj,BURKINA FASO,x35OtBOWemw,HAUTS BASSINS,qP70IWKmadj,HOUET,DqVkgKRZz84,DS DO,H1zE6UjqMez,ARRONDISSEMENT DE DO,,,,
zmSNCYjqQGj,BURKINA FASO,x35OtBOWemw,HAUTS BASSINS,qP70IWKmadj,HOUET,DqVkgKRZz84,DS DO,HM27SS2xOZC,ARRONDISSEMENT DE KONSA,,,,
zmSNCYjqQGj,BURKINA FASO,QbUydxr5PH1,NORD,ZxXpTIWCHbI,PASSORE,oNJ6Dql8iPo,DS YAKO,KMvXQqUExZj,BAGARE,,,,
zmSNCYjqQGj,BURKINA FASO,awG7snlrjVy,BOUCLE DU MOUHOUN,GKYLNXxIih7,BALE,CTtB0TPRvWc,DS BOROMO,VnycWkHzONN,BAGASSI,,,,
zmSNCYjqQGj,BURKINA FASO,C9M7mlhBZcI,CENTRE EST,j6c8XvNzJKc,BOULGOU,ry4dVgT4brt,DS TENKODOGO,SS69sE0J9cL,BAGRE ,,,,
